pi,pi_window,issue_number,issue_title,issue_url,project,initiative,team,person,role,fte,obj_start,obj_end,pi_fraction,weighted_fte
PI 27.1,2026-10-18 to 2027-01-16,176,[PM]-[Objective 28]: Vector tile support,https://github.com/NASA-IMPACT/veda-github-actions/issues/176,MAAP,Disasters,EIE,Morgan Reyes,Jupyterhub,0.68,2026-11-16,2027-01-01,0.52,0.35
PI 27.2,2027-01-17 to 2027-04-17,177,[Frontend]-[Objective 29]: Search relevance tuning,https://github.com/NASA-IMPACT/veda-github-actions/issues/177,CSDA,AIR4US,Front-end,Alice Nguyen,PM,0.72,2027-01-17,2027-04-17,1.0,0.72
PI 27.2,2027-01-17 to 2027-04-17,177,[Frontend]-[Objective 29]: Search relevance tuning,https://github.com/NASA-IMPACT/veda-github-actions/issues/177,CSDA,AIR4US,Front-end,Jordan Kim,Designer,0.42,2027-01-17,2027-04-17,1.0,0.42
PI 27.2,2027-01-17 to 2027-04-17,178,[Backend]-[Objective 30]: Incident runbook automation,https://github.com/NASA-IMPACT/veda-github-actions/issues/178,AQ Portal,Water Insights,Back-end,Bob Martinez,Backend,0.72,2027-01-17,2027-04-17,1.0,0.72
PI 27.2,2027-01-17 to 2027-04-17,178,[Backend]-[Objective 30]: Incident runbook automation,https://github.com/NASA-IMPACT/veda-github-actions/issues/178,AQ Portal,Water Insights,Back-end,Yuki Tanaka,ML,0.72,2027-01-17,2027-04-17,1.0,0.72
PI 27.2,2027-01-17 to 2027-04-17,179,[Geospatial]-[Objective 31]: COG pipeline hardening,https://github.com/NASA-IMPACT/veda-github-actions/issues/179,Disasters,Plugins,Geospatial,Elena Petrova,Designer,0.42,2027-01-25,2027-03-20,0.6,0.25
PI 27.2,2027-01-17 to 2027-04-17,179,[Geospatial]-[Objective 31]: COG pipeline hardening,https://github.com/NASA-IMPACT/veda-github-actions/issues/179,Disasters,Plugins,Geospatial,Rae Thompson,Frontend,0.42,2027-01-25,2027-03-20,0.6,0.25
PI 27.2,2027-01-17 to 2027-04-17,180,[Data Curator]-[Objective 32]: S3 ingestion API v2,https://github.com/NASA-IMPACT/veda-github-actions/issues/180,HLS,CMS,Data Services,Alice Nguyen,Backend,0.72,2027-01-17,2027-04-17,1.0,0.72
PI 27.2,2027-01-17 to 2027-04-17,180,[Data Curator]-[Objective 32]: S3 ingestion API v2,https://github.com/NASA-IMPACT/veda-github-actions/issues/180,HLS,CMS,Data Services,Liam Walsh,Data Curator,0.42,2027-01-17,2027-04-17,1.0,0.42
PI 27.2,2027-01-17 to 2027-04-17,181,[Comms]-[Objective 33]: Disaster dashboard redesign,https://github.com/NASA-IMPACT/veda-github-actions/issues/181,MAAP,EIE,Plugins,Carla Diaz,Geospatial,0.42,2027-01-17,2027-04-17,1.0,0.42
PI 27.2,2027-01-17 to 2027-04-17,181,[Comms]-[Objective 33]: Disaster dashboard redesign,https://github.com/NASA-IMPACT/veda-github-actions/issues/181,MAAP,EIE,Plugins,Owen Clark,Geospatial,0.42,2027-01-17,2027-04-17,1.0,0.42
PI 27.2,2027-01-17 to 2027-04-17,182,[ML]-[Objective 34]: Flood extent model,https://github.com/NASA-IMPACT/veda-github-actions/issues/182,CSDA,TiTiler-CMR,ODD,Owen Clark,Geospatial,0.42,2027-01-17,2027-04-17,1.0,0.42
PI 27.2,2027-01-17 to 2027-04-17,182,[ML]-[Objective 34]: Flood extent model,https://github.com/NASA-IMPACT/veda-github-actions/issues/182,CSDA,TiTiler-CMR,ODD,Sam Okoro,Data Curator,0.42,2027-01-17,2027-04-17,1.0,0.42
PI 27.2,2027-01-17 to 2027-04-17,183,[Designer]-[Objective 35]: CSDA catalog automation,https://github.com/NASA-IMPACT/veda-github-actions/issues/183,AQ Portal,Science Support,EIE,Jordan Kim,Designer,0.42,2027-01-27,2027-04-02,0.73,0.3
PI 27.2,2027-01-17 to 2027-04-17,183,[Designer]-[Objective 35]: CSDA catalog automation,https://github.com/NASA-IMPACT/veda-github-actions/issues/183,AQ Portal,Science Support,EIE,Nadia Hassan,Backend,0.72,2027-01-27,2027-04-02,0.73,0.52
PI 27.2,2027-01-17 to 2027-04-17,184,[Jupyterhub]-[Objective 36]: Stakeholder reporting portal,https://github.com/NASA-IMPACT/veda-github-actions/issues/184,Disasters,Cloud-Optimized R+D,Front-end,Bob Martinez,Backend,0.72,2027-01-17,2027-04-17,1.0,0.72
PI 27.2,2027-01-17 to 2027-04-17,184,[Jupyterhub]-[Objective 36]: Stakeholder reporting portal,https://github.com/NASA-IMPACT/veda-github-actions/issues/184,Disasters,Cloud-Optimized R+D,Front-end,Morgan Reyes,Jupyterhub,0.42,2027-01-17,2027-04-17,1.0,0.42
PI 27.2,2027-01-17 to 2027-04-17,185,[PM]-[Objective 37]: Notebook environment upgrade,https://github.com/NASA-IMPACT/veda-github-actions/issues/185,HLS,Disasters,Back-end,Elena Petrova,Designer,0.42,2027-02-10,2027-04-11,0.67,0.28
PI 27.2,2027-01-17 to 2027-04-17,185,[PM]-[Objective 37]: Notebook environment upgrade,https://github.com/NASA-IMPACT/veda-github-actions/issues/185,HLS,Disasters,Back-end,Yuki Tanaka,ML,0.72,2027-02-10,2027-04-11,0.67,0.48
PI 27.2,2027-01-17 to 2027-04-17,186,[Frontend]-[Objective 38]: Reprojection service scaling,https://github.com/NASA-IMPACT/veda-github-actions/issues/186,MAAP,AIR4US,Geospatial,Liam Walsh,Data Curator,0.42,2027-01-17,2027-04-17,1.0,0.42
PI 27.2,2027-01-17 to 2027-04-17,186,[Frontend]-[Objective 38]: Reprojection service scaling,https://github.com/NASA-IMPACT/veda-github-actions/issues/186,MAAP,AIR4US,Geospatial,Sam Okoro,ML,0.42,2027-01-17,2027-04-17,1.0,0.42
PI 27.2,2027-01-17 to 2027-04-17,187,[Backend]-[Objective 39]: Auth & access control,https://github.com/NASA-IMPACT/veda-github-actions/issues/187,CSDA,Water Insights,Data Services,Devon Lee,Designer,0.42,2027-01-17,2027-04-17,1.0,0.42
PI 27.2,2027-01-17 to 2027-04-17,187,[Backend]-[Objective 39]: Auth & access control,https://github.com/NASA-IMPACT/veda-github-actions/issues/187,CSDA,Water Insights,Data Services,Taylor Brooks,Comms,0.42,2027-01-17,2027-04-17,1.0,0.42
PI 27.2,2027-01-17 to 2027-04-17,188,[Geospatial]-[Objective 40]: Data QA automation,https://github.com/NASA-IMPACT/veda-github-actions/issues/188,AQ Portal,Plugins,Plugins,Priya Patel,Data Curator,0.42,2027-01-17,2027-04-17,1.0,0.42
PI 27.2,2027-01-17 to 2027-04-17,188,[Geospatial]-[Objective 40]: Data QA automation,https://github.com/NASA-IMPACT/veda-github-actions/issues/188,AQ Portal,Plugins,Plugins,Priya Patel,PM,0.42,2027-01-17,2027-04-17,1.0,0.42
PI 27.2,2027-01-17 to 2027-04-17,189,[Data Curator]-[Objective 41]: Tile server migration,https://github.com/NASA-IMPACT/veda-github-actions/issues/189,Disasters,CMS,ODD,Taylor Brooks,Comms,0.42,2027-01-17,2027-04-17,1.0,0.42
PI 27.2,2027-01-17 to 2027-04-17,190,[Comms]-[Objective 42]: Metadata schema v3,https://github.com/NASA-IMPACT/veda-github-actions/issues/190,HLS,EIE,EIE,Rae Thompson,Frontend,0.42,2027-01-24,2027-03-30,0.73,0.3
PI 27.2,2027-01-17 to 2027-04-17,191,[ML]-[Objective 43]: Alerting pipeline,https://github.com/NASA-IMPACT/veda-github-actions/issues/191,MAAP,TiTiler-CMR,Front-end,Sofia Rossi,PM,0.72,2027-01-17,2027-04-17,1.0,0.72
PI 27.2,2027-01-17 to 2027-04-17,192,[Designer]-[Objective 44]: Cloud cost monitoring,https://github.com/NASA-IMPACT/veda-github-actions/issues/192,CSDA,Science Support,Back-end,Morgan Reyes,Jupyterhub,0.42,2027-01-17,2027-04-17,1.0,0.42
PI 27.2,2027-01-17 to 2027-04-17,193,[Jupyterhub]-[Objective 45]: Wildfire severity model,https://github.com/NASA-IMPACT/veda-github-actions/issues/193,AQ Portal,Cloud-Optimized R+D,Geospatial,Nadia Hassan,Backend,0.72,2027-01-17,2027-04-17,1.0,0.72
PI 27.2,2027-01-17 to 2027-04-17,194,[PM]-[Objective 46]: Public API documentation,https://github.com/NASA-IMPACT/veda-github-actions/issues/194,Disasters,Disasters,Data Services,Sofia Rossi,PM,0.72,2027-01-17,2027-04-17,1.0,0.72
PI 27.2,2027-01-17 to 2027-04-17,195,[Frontend]-[Objective 47]: Onboarding revamp,https://github.com/NASA-IMPACT/veda-github-actions/issues/195,HLS,AIR4US,Plugins,Carla Diaz,Geospatial,0.42,2027-01-17,2027-04-17,1.0,0.42
PI 27.2,2027-01-17 to 2027-04-17,196,[Backend]-[Objective 48]: STAC catalog buildout,https://github.com/NASA-IMPACT/veda-github-actions/issues/196,MAAP,Water Insights,ODD,Devon Lee,Frontend,0.42,2027-01-17,2027-02-24,0.43,0.18
