pi,pi_window,issue_number,issue_title,issue_url,project,initiative,team,person,role,fte,obj_start,obj_end,pi_fraction,weighted_fte
PI 26.4,2026-07-12 to 2026-10-17,24,[PM]-[Objective 24]: Model retraining harness,https://github.com/NASA-IMPACT/veda-github-actions/issues/24,CSDA,EIE,Geospatial,Sofia Rossi,PM,0.3,2026-08-11,2026-10-06,0.58,0.17
PI 26.4,2026-07-12 to 2026-10-17,25,[PM]-[Objective 25]: Colormap library,https://github.com/NASA-IMPACT/veda-github-actions/issues/25,AQ Portal,TiTiler-CMR,Data Services,Carla Diaz,Geospatial,0.4,2026-07-12,2026-10-17,1.0,0.4
PI 26.4,2026-07-12 to 2026-10-17,25,[PM]-[Objective 25]: Colormap library,https://github.com/NASA-IMPACT/veda-github-actions/issues/25,AQ Portal,TiTiler-CMR,Data Services,Nadia Hassan,Backend,0.6,2026-07-12,2026-10-17,1.0,0.6
PI 26.4,2026-07-12 to 2026-10-17,25,[PM]-[Objective 25]: Colormap library,https://github.com/NASA-IMPACT/veda-github-actions/issues/25,AQ Portal,TiTiler-CMR,Data Services,Sam Okoro,ML,0.5,2026-07-12,2026-10-17,1.0,0.5
PI 26.4,2026-07-12 to 2026-10-17,25,[PM]-[Objective 25]: Colormap library,https://github.com/NASA-IMPACT/veda-github-actions/issues/25,AQ Portal,TiTiler-CMR,Data Services,Taylor Brooks,Comms,0.3,2026-07-12,2026-10-17,1.0,0.3
PI 26.4,2026-07-12 to 2026-10-17,26,[Backend]-[Objective 26]: Region-of-interest tooling,https://github.com/NASA-IMPACT/veda-github-actions/issues/26,Disasters,Science Support,Plugins,Jordan Kim,Designer,0.75,2026-07-12,2026-10-17,1.0,0.75
PI 26.4,2026-07-12 to 2026-10-17,26,[Backend]-[Objective 26]: Region-of-interest tooling,https://github.com/NASA-IMPACT/veda-github-actions/issues/26,Disasters,Science Support,Plugins,Owen Clark,Geospatial,0.1,2026-07-12,2026-10-17,1.0,0.1
PI 26.4,2026-07-12 to 2026-10-17,26,[Backend]-[Objective 26]: Region-of-interest tooling,https://github.com/NASA-IMPACT/veda-github-actions/issues/26,Disasters,Science Support,Plugins,Taylor Brooks,Comms,0.2,2026-07-12,2026-10-17,1.0,0.2
PI 26.4,2026-07-12 to 2026-10-17,27,[Frontend]-[Objective 27]: Backfill orchestration,https://github.com/NASA-IMPACT/veda-github-actions/issues/27,HLS,Cloud-Optimized R+D,ODD,Carla Diaz,Geospatial,0.2,2026-07-25,2026-09-19,0.58,0.12
PI 26.4,2026-07-12 to 2026-10-17,27,[Frontend]-[Objective 27]: Backfill orchestration,https://github.com/NASA-IMPACT/veda-github-actions/issues/27,HLS,Cloud-Optimized R+D,ODD,Owen Clark,Geospatial,0.5,2026-07-25,2026-09-19,0.58,0.29
PI 26.4,2026-07-12 to 2026-10-17,27,[Frontend]-[Objective 27]: Backfill orchestration,https://github.com/NASA-IMPACT/veda-github-actions/issues/27,HLS,Cloud-Optimized R+D,ODD,Taylor Brooks,Comms,0.3,2026-07-25,2026-09-19,0.58,0.17
PI 26.4,2026-07-12 to 2026-10-17,28,[Data Curator]-[Objective 28]: Vector tile support,https://github.com/NASA-IMPACT/veda-github-actions/issues/28,MAAP,Disasters,EIE,Alice Nguyen,PM,0.2,2026-08-15,2026-10-17,0.65,0.13
PI 26.4,2026-07-12 to 2026-10-17,28,[Data Curator]-[Objective 28]: Vector tile support,https://github.com/NASA-IMPACT/veda-github-actions/issues/28,MAAP,Disasters,EIE,Elena Petrova,Designer,0.4,2026-08-15,2026-10-17,0.65,0.26
PI 26.4,2026-07-12 to 2026-10-17,28,[Data Curator]-[Objective 28]: Vector tile support,https://github.com/NASA-IMPACT/veda-github-actions/issues/28,MAAP,Disasters,EIE,Sam Okoro,ML,0.25,2026-08-15,2026-10-17,0.65,0.16
PI 26.4,2026-07-12 to 2026-10-17,29,[Frontend]-[Objective 29]: Search relevance tuning,https://github.com/NASA-IMPACT/veda-github-actions/issues/29,CSDA,AIR4US,Front-end,Carla Diaz,Geospatial,0.5,2026-07-12,2026-10-17,1.0,0.5
PI 26.4,2026-07-12 to 2026-10-17,29,[Frontend]-[Objective 29]: Search relevance tuning,https://github.com/NASA-IMPACT/veda-github-actions/issues/29,CSDA,AIR4US,Front-end,Liam Walsh,Data Curator,0.8,2026-07-12,2026-10-17,1.0,0.8
PI 26.4,2026-07-12 to 2026-10-17,29,[Frontend]-[Objective 29]: Search relevance tuning,https://github.com/NASA-IMPACT/veda-github-actions/issues/29,CSDA,AIR4US,Front-end,Morgan Reyes,Jupyterhub,0.3,2026-07-12,2026-10-17,1.0,0.3
PI 26.4,2026-07-12 to 2026-10-17,29,[Frontend]-[Objective 29]: Search relevance tuning,https://github.com/NASA-IMPACT/veda-github-actions/issues/29,CSDA,AIR4US,Front-end,Nadia Hassan,Backend,0.75,2026-07-12,2026-10-17,1.0,0.75
PI 26.4,2026-07-12 to 2026-10-17,29,[Frontend]-[Objective 29]: Search relevance tuning,https://github.com/NASA-IMPACT/veda-github-actions/issues/29,CSDA,AIR4US,Front-end,Taylor Brooks,Comms,0.4,2026-07-12,2026-10-17,1.0,0.4
PI 26.4,2026-07-12 to 2026-10-17,30,[PM]-[Objective 30]: Incident runbook automation,https://github.com/NASA-IMPACT/veda-github-actions/issues/30,AQ Portal,Water Insights,Back-end,Alice Nguyen,Backend,0.25,2026-08-08,2026-09-18,0.43,0.11
PI 26.4,2026-07-12 to 2026-10-17,31,[Data Curator]-[Objective 31]: COG pipeline hardening,https://github.com/NASA-IMPACT/veda-github-actions/issues/31,Disasters,Plugins,Geospatial,Alice Nguyen,PM,0.8,2026-08-09,2026-10-07,0.61,0.49
PI 26.4,2026-07-12 to 2026-10-17,31,[Data Curator]-[Objective 31]: COG pipeline hardening,https://github.com/NASA-IMPACT/veda-github-actions/issues/31,Disasters,Plugins,Geospatial,Sofia Rossi,PM,0.1,2026-08-09,2026-10-07,0.61,0.06
PI 26.4,2026-07-12 to 2026-10-17,31,[Data Curator]-[Objective 31]: COG pipeline hardening,https://github.com/NASA-IMPACT/veda-github-actions/issues/31,Disasters,Plugins,Geospatial,Taylor Brooks,Comms,0.5,2026-08-09,2026-10-07,0.61,0.31
PI 26.4,2026-07-12 to 2026-10-17,31,[Data Curator]-[Objective 31]: COG pipeline hardening,https://github.com/NASA-IMPACT/veda-github-actions/issues/31,Disasters,Plugins,Geospatial,Yuki Tanaka,ML,1.0,2026-08-09,2026-10-07,0.61,0.61
PI 27.2,2027-01-17 to 2027-04-17,32,[Jupyterhub]-[Objective 32]: S3 ingestion API v2,https://github.com/NASA-IMPACT/veda-github-actions/issues/32,HLS,CMS,Data Services,Jordan Kim,Designer,0.3,2026-10-26,2026-11-19,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,32,[Jupyterhub]-[Objective 32]: S3 ingestion API v2,https://github.com/NASA-IMPACT/veda-github-actions/issues/32,HLS,CMS,Data Services,Taylor Brooks,Comms,0.5,2026-10-26,2026-11-19,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,32,[Jupyterhub]-[Objective 32]: S3 ingestion API v2,https://github.com/NASA-IMPACT/veda-github-actions/issues/32,HLS,CMS,Data Services,Yuki Tanaka,ML,0.1,2026-10-26,2026-11-19,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,33,[Geospatial]-[Objective 33]: Disaster dashboard redesign,https://github.com/NASA-IMPACT/veda-github-actions/issues/33,MAAP,EIE,Plugins,Elena Petrova,Designer,0.25,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,33,[Geospatial]-[Objective 33]: Disaster dashboard redesign,https://github.com/NASA-IMPACT/veda-github-actions/issues/33,MAAP,EIE,Plugins,Liam Walsh,Data Curator,0.3,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,33,[Geospatial]-[Objective 33]: Disaster dashboard redesign,https://github.com/NASA-IMPACT/veda-github-actions/issues/33,MAAP,EIE,Plugins,Yuki Tanaka,ML,0.25,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,34,[Backend]-[Objective 34]: Flood extent model,https://github.com/NASA-IMPACT/veda-github-actions/issues/34,CSDA,TiTiler-CMR,ODD,Owen Clark,Geospatial,0.5,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,35,[ML]-[Objective 35]: CSDA catalog automation,https://github.com/NASA-IMPACT/veda-github-actions/issues/35,AQ Portal,Science Support,EIE,Bob Martinez,Backend,0.6,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,35,[ML]-[Objective 35]: CSDA catalog automation,https://github.com/NASA-IMPACT/veda-github-actions/issues/35,AQ Portal,Science Support,EIE,Priya Patel,Data Curator,0.2,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,36,[PM]-[Objective 36]: Stakeholder reporting portal,https://github.com/NASA-IMPACT/veda-github-actions/issues/36,Disasters,Cloud-Optimized R+D,Front-end,Devon Lee,Frontend,0.5,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,36,[PM]-[Objective 36]: Stakeholder reporting portal,https://github.com/NASA-IMPACT/veda-github-actions/issues/36,Disasters,Cloud-Optimized R+D,Front-end,Elena Petrova,Designer,0.4,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,38,[Geospatial]-[Objective 38]: Reprojection service scaling,https://github.com/NASA-IMPACT/veda-github-actions/issues/38,MAAP,AIR4US,Geospatial,Elena Petrova,Designer,0.5,2026-10-30,2026-12-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,38,[Geospatial]-[Objective 38]: Reprojection service scaling,https://github.com/NASA-IMPACT/veda-github-actions/issues/38,MAAP,AIR4US,Geospatial,Priya Patel,Data Curator,0.4,2026-10-30,2026-12-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,38,[Geospatial]-[Objective 38]: Reprojection service scaling,https://github.com/NASA-IMPACT/veda-github-actions/issues/38,MAAP,AIR4US,Geospatial,Sofia Rossi,PM,0.8,2026-10-30,2026-12-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,39,[ML]-[Objective 39]: Auth & access control,https://github.com/NASA-IMPACT/veda-github-actions/issues/39,CSDA,Water Insights,Data Services,Alice Nguyen,Backend,1.0,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,39,[ML]-[Objective 39]: Auth & access control,https://github.com/NASA-IMPACT/veda-github-actions/issues/39,CSDA,Water Insights,Data Services,Bob Martinez,Backend,0.5,2026-10-18,2027-01-16,0.0,0.0
PI 27.2,2027-01-17 to 2027-04-17,39,[ML]-[Objective 39]: Auth & access control,https://github.com/NASA-IMPACT/veda-github-actions/issues/39,CSDA,Water Insights,Data Services,Carla Diaz,Geospatial,0.5,2026-10-18,2027-01-16,0.0,0.0
